                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4036,                 1.4823,                 1.5405,                 1.3732,                 1.7771,                 1.4503,                0.52728,                0.72834,                0.66532,                0.38677,                 1.4063,                  1.212,                 1.5552,                 1.3052,                 1.5329,                  1.374,              0.0006535,              0.0006535,              0.0006535
                     24,                 1.4423,                 1.5091,                 1.5485,                 1.4075,                 1.8045,                 1.4421,                0.66805,                0.57073,                0.64333,                0.37638,                 1.4326,                 1.3997,                 1.5712,                 1.3953,                 1.5391,                 1.5326,               0.000637,               0.000637,               0.000637
                     25,                 1.3943,                 1.4654,                 1.5263,                 1.3753,                 1.7507,                 1.4385,                0.75138,                0.58543,                0.64764,                0.37426,                 1.4818,                 1.2577,                 1.6716,                  1.285,                 1.6567,                 1.4367,              0.0006205,              0.0006205,              0.0006205
                     26,                 1.4115,                  1.449,                 1.5371,                 1.3877,                 1.7295,                 1.4496,                0.61068,                0.68281,                0.71265,                0.39192,                  1.552,                 1.2856,                 1.6162,                 1.5152,                 1.4867,                 1.5108,               0.000604,               0.000604,               0.000604
                     27,                 1.4005,                 1.4251,                 1.5218,                 1.3774,                 1.6873,                 1.4167,                0.90167,                0.60073,                0.71534,                0.39436,                 1.5792,                  1.304,                 1.7387,                 1.4643,                 1.4821,                 1.5791,              0.0005875,              0.0005875,              0.0005875
                     28,                 1.3935,                  1.408,                 1.5231,                 1.3753,                 1.6571,                 1.4328,                0.80676,                0.60707,                0.68845,                0.40085,                 1.4774,                 1.2248,                 1.6128,                  1.389,                 1.4458,                 1.5544,               0.000571,               0.000571,               0.000571
                     29,                 1.3732,                 1.3859,                 1.5159,                 1.3549,                 1.6465,                 1.4212,                0.57008,                0.64635,                0.64711,                0.38006,                 1.4936,                 1.2796,                 1.6792,                 1.4695,                 1.5058,                 1.5379,              0.0005545,              0.0005545,              0.0005545
                     30,                 1.4074,                 1.4254,                 1.5316,                 1.3787,                 1.6771,                 1.4324,                0.72301,                0.64237,                0.70071,                0.42388,                 1.4268,                 1.2297,                 1.5568,                 1.4737,                 1.3382,                 1.4605,               0.000538,               0.000538,               0.000538
                     31,                 1.3633,                 1.3495,                 1.4998,                 1.3463,                 1.6094,                 1.4084,                0.61976,                 0.6403,                0.67657,                0.38796,                 1.5591,                 1.3286,                 1.6549,                 1.4801,                 1.4499,                 1.4819,              0.0005215,              0.0005215,              0.0005215
                     32,                 1.3507,                 1.3646,                 1.4942,                 1.3356,                 1.6047,                 1.4044,                0.80062,                0.54289,                0.67359,                0.38617,                 1.5384,                 1.2988,                 1.7015,                 1.6025,                 1.3379,                  1.644,               0.000505,               0.000505,               0.000505
                     33,                 1.3738,                 1.3415,                 1.5123,                 1.3692,                  1.584,                 1.4248,                0.80034,                 0.6336,                0.69691,                0.36877,                 1.6924,                 1.3582,                 1.7442,                 1.5116,                 1.5518,                 1.5218,              0.0004885,              0.0004885,              0.0004885
                     34,                 1.3768,                 1.3551,                 1.4964,                  1.367,                 1.5935,                 1.4102,                0.69423,                0.59954,                0.65068,                 0.3655,                 1.4615,                 1.1642,                 1.5431,                 1.4358,                 1.3858,                 1.4764,               0.000472,               0.000472,               0.000472
                     35,                 1.3466,                 1.3567,                 1.4988,                 1.3426,                 1.5923,                  1.416,                0.89922,                0.56999,                0.69181,                0.42593,                 1.4715,                 1.2925,                  1.563,                 1.4226,                 1.4423,                 1.4304,              0.0004555,              0.0004555,              0.0004555
                     36,                 1.3366,                 1.3218,                 1.4876,                   1.31,                  1.558,                  1.397,                0.80705,                0.58923,                0.70782,                0.42141,                 1.4448,                 1.2437,                 1.5581,                 1.3486,                 1.4273,                 1.4291,               0.000439,               0.000439,               0.000439
