                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7453,                 3.3229,                 1.8879,                 1.4677,                 6.1817,                 1.7084,                0.37667,                0.23676,                0.19883,                0.07169,                 1.9891,                 4.7198,                 2.2042,                 1.6909,                 9.2957,                 1.9332,             0.00033129,             0.00033129,             0.00033129
                      2,                 1.7049,                 2.4682,                 1.8202,                 1.4699,                 4.7875,                  1.636,                0.67815,                 0.1895,                0.25704,                0.08674,                 2.0166,                 3.3123,                  2.448,                 1.6806,                 7.0505,                 1.9845,             0.00066298,             0.00066298,             0.00066298
                      3,                 1.6928,                 2.3047,                 1.8122,                 1.4835,                 3.9585,                 1.6487,                0.61138,                0.26029,                0.28833,                0.13197,                 1.7472,                 2.9059,                 1.9473,                 1.6296,                  5.069,                 1.9162,             0.00099302,             0.00099302,             0.00099302
                      4,                 1.6599,                  2.163,                  1.785,                  1.501,                 3.3342,                 1.6317,                0.61625,                 0.2894,                0.27629,                 0.1212,                 1.7132,                 2.7073,                 1.9868,                 1.5226,                 4.3183,                 1.8304,             0.00099258,             0.00099258,             0.00099258
                      5,                 1.6402,                 2.0152,                 1.7529,                 1.4944,                   2.92,                 1.6095,                 0.3866,                0.44285,                0.39799,                 0.1889,                 1.6046,                 1.9236,                 1.8302,                 1.4219,                 3.1173,                 1.6803,             0.00099258,             0.00099258,             0.00099258
                      6,                 1.5745,                 1.8762,                 1.6968,                  1.469,                 2.5768,                 1.5729,                0.68043,                0.53451,                0.63635,                0.31193,                  1.664,                 1.6731,                  1.931,                 1.4849,                 2.5689,                 1.6893,              0.0009901,              0.0009901,              0.0009901
                      7,                 1.5736,                 1.8471,                 1.7164,                 1.4868,                 2.4558,                 1.5886,                0.59985,                0.41694,                0.45944,                0.23213,                 1.6192,                 1.9129,                 1.7865,                  1.526,                 2.5043,                 1.6389,             0.00098763,             0.00098763,             0.00098763
                      8,                 1.5512,                 1.8104,                 1.6977,                 1.4822,                 2.3308,                 1.5858,                0.65265,                0.39366,                0.52377,                  0.192,                 1.8121,                 1.9432,                 1.9466,                 1.5447,                 2.7581,                 1.7396,             0.00098515,             0.00098515,             0.00098515
                      9,                 1.5402,                 1.7373,                  1.686,                 1.4729,                 2.1958,                  1.579,                0.47929,                0.46857,                0.51298,                0.22938,                 1.7678,                 2.1449,                 2.0196,                 1.6869,                 2.7686,                 1.8701,             0.00098268,             0.00098268,             0.00098268
                     10,                 1.5174,                 1.7055,                 1.6623,                 1.4542,                 2.1496,                 1.5568,                0.54834,                0.58335,                0.56499,                0.24362,                 1.6789,                  1.581,                 1.7875,                 1.6202,                 2.0406,                 1.6755,              0.0009802,              0.0009802,              0.0009802
                     11,                 1.5431,                 1.7039,                 1.6785,                 1.4638,                 2.1355,                 1.5641,                0.64934,                0.43837,                0.47574,                0.26109,                 1.4998,                 1.5571,                 1.7026,                 1.4787,                 2.1009,                 1.5994,             0.00097773,             0.00097773,             0.00097773
                     12,                 1.5194,                 1.6485,                 1.6673,                 1.4619,                   2.05,                 1.5667,                0.58735,                0.62375,                0.58008,                 0.2812,                 1.6411,                 1.4818,                 1.7604,                 1.4974,                 2.0114,                 1.6745,             0.00097525,             0.00097525,             0.00097525
                     13,                 1.5014,                 1.6124,                 1.6584,                 1.4478,                 1.9811,                 1.5492,                0.44797,                0.64944,                0.58654,                0.32691,                 1.4558,                 1.3792,                 1.6748,                 1.4123,                 1.8666,                 1.6443,             0.00097278,             0.00097278,             0.00097278
                     14,                 1.4921,                 1.5724,                 1.6319,                 1.4626,                 1.9259,                 1.5426,                0.63572,                0.61174,                0.68442,                0.34257,                 1.6934,                  1.438,                  1.831,                 1.5587,                 1.8077,                 1.7413,              0.0009703,              0.0009703,              0.0009703
                     15,                 1.4962,                 1.5638,                 1.6453,                 1.4437,                 1.9165,                 1.5489,                0.39468,                0.60578,                0.52919,                0.26912,                 1.6316,                 1.4708,                 1.7898,                 1.6307,                 1.7626,                 1.6877,             0.00096783,             0.00096783,             0.00096783
                     16,                 1.4886,                 1.5888,                 1.6384,                 1.4706,                 1.8976,                  1.548,                0.63859,                0.58185,                0.61541,                0.29442,                 1.5351,                 1.4433,                 1.6464,                 1.4714,                 1.7546,                 1.5935,             0.00096535,             0.00096535,             0.00096535
                     17,                 1.4758,                 1.5424,                 1.6214,                 1.4499,                 1.8571,                 1.5335,                0.70136,                0.61215,                0.68763,                0.37912,                 1.5087,                 1.3531,                 1.6581,                 1.4412,                 1.5662,                 1.5846,             0.00096288,             0.00096288,             0.00096288
                     18,                 1.4729,                 1.5066,                 1.6112,                  1.451,                 1.7908,                 1.5329,                0.90403,                0.22574,                0.36681,                0.17931,                 1.8604,                 2.4684,                 2.1614,                 1.9231,                 2.6734,                 2.0728,              0.0009604,              0.0009604,              0.0009604
                     19,                 1.4745,                 1.5235,                 1.6406,                 1.4397,                 1.8546,                  1.561,                0.41369,                0.47515,                0.49842,                0.22932,                 1.8679,                 1.6287,                  2.115,                 1.7487,                 1.9472,                 1.9399,             0.00095793,             0.00095793,             0.00095793
