                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7449,                 3.2302,                 1.8195,                 1.4596,                  5.089,                 1.6311,                0.77562,                0.19363,                 0.3026,                0.12672,                 1.8495,                  2.879,                 2.0453,                 1.5457,                 6.7416,                 1.7557,             0.00033129,             0.00033129,             0.00033129
                      2,                 1.6956,                 2.3506,                 1.7405,                 1.4453,                  4.029,                 1.5271,                0.56334,                0.29305,                0.31636,                0.12643,                 1.8476,                 3.0215,                 1.9647,                 1.7603,                 5.4455,                 1.7187,             0.00066133,             0.00066133,             0.00066133
                      3,                  1.688,                 2.2159,                 1.7392,                  1.504,                 3.4899,                 1.5435,                0.66144,                0.16977,                0.25782,                0.12559,                 2.0585,                  2.825,                 2.2053,                  1.823,                 4.8169,                 1.8907,             0.00098808,             0.00098808,             0.00098808
                      4,                 1.6535,                  2.085,                 1.7035,                 1.5061,                 3.0496,                 1.5369,                 0.5021,                 0.4634,                0.37409,                0.17097,                 1.5437,                 2.1787,                 1.6177,                 1.4018,                 3.2705,                 1.4782,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.6238,                 1.9961,                 1.6762,                 1.4869,                 2.7428,                 1.5148,                0.46542,                0.41936,                0.38871,                0.18904,                 1.5711,                 2.2396,                  1.602,                 1.5643,                  3.069,                 1.6246,             0.00098515,             0.00098515,             0.00098515
                      6,                   1.58,                 1.8627,                 1.6429,                 1.4798,                 2.4993,                 1.5043,                0.43213,                0.46594,                0.40467,                0.20534,                 1.5663,                 2.0516,                 1.5744,                 1.4857,                 2.7602,                 1.4845,              0.0009802,              0.0009802,              0.0009802
                      7,                   1.58,                 1.8334,                 1.6374,                 1.4743,                 2.4167,                    1.5,                0.56411,                0.50609,                0.53825,                0.22637,                 1.6605,                 1.6298,                 1.6899,                 1.6272,                 2.2524,                 1.6123,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.5407,                 1.7784,                 1.6194,                 1.4664,                 2.2857,                 1.4922,                 0.5802,                 0.4352,                0.51728,                0.28502,                 1.5574,                 1.6288,                 1.6103,                 1.5224,                 2.1286,                  1.549,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.5332,                 1.7378,                 1.6231,                 1.4731,                 2.1698,                 1.4847,                0.37847,                0.58394,                0.46399,                0.23194,                 1.4892,                 1.5787,                 1.6218,                 1.4892,                 2.1529,                   1.54,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.5404,                 1.7362,                 1.6103,                 1.4798,                 2.1271,                 1.4777,                0.63806,                0.57829,                0.59148,                 0.2542,                 1.6294,                 1.5243,                 1.6334,                 1.5047,                   1.98,                 1.5529,              0.0009604,              0.0009604,              0.0009604
